,Unnamed: 0,Question,Name,Profile,Price,Ram/Storage,OS,Display,DailyUse,Camera,Battery,resp.id,choice
0,31,1,Xiaomi Mi Note 10 Lite,1,300,8/128,Android,High,High,Medium,High,1,1
1,37,1,Redmi Note 9 Pro,2,200,4/64,Android,Medium,Medium,Medium,High,1,0
2,14,1,Xiaomi Mi 10,3,500,8/128,Android,Medium,High,Medium,Medium,1,0
3,20,2,Realme 7 Pro,1,300,8/128,Android,High,Medium,Low,High,1,0
4,26,2,LG Velvet,2,400,8/128,Android,Medium,High,Medium,Low,1,0
5,39,2,Samsung Galaxy S10 Lite,3,400,8/128,Android,High,High,Medium,High,1,1
6,10,3,Sony Xperia 5 II,1,900,8/128,Android,High,High,High,Medium,1,1
7,16,3,Poco X3 ,2,300,8/128,Android,Medium,Medium,Medium,High,1,0
8,34,3,Motorola Razr 5G,3,1300,12/256,Android,Medium,Medium,Low,Low,1,0
9,33,4,Samsung Galaxy S20 Ultra,1,1400,12/256,Android,High,Medium,High,Low,1,0
10,32,4,Honor 9X Pro,2,300,8/128,Android,Medium,Medium,Medium,High,1,1
11,11,4,Motorola Moto G9 Plus,3,200,4/64,Android,Low,Medium,Medium,High,1,0
12,15,5,Xiaomi Mi 10 Lite,1,200,4/64,Android,High,High,Medium,High,1,0
13,38,5,Samsung Galaxy A21s,2,200,4/64,Android,Low,Medium,Medium,High,1,0
14,30,5,Samsung Galaxy A31,3,300,4/64,Android,High,Medium,Low,High,1,1
15,23,6,Oppo Reno 4 Pro,1,700,12/256,Android,High,High,Medium,High,1,1
16,35,6,Google Pixel 4A,2,500,8/128,Android,High,High,Medium,Low,1,0
17,13,6,Xiaomi Mi 10T,3,500,8/128,Android,Medium,High,Medium,Medium,1,0
18,27,7,Asus Zenfone 7,1,600,8/128,Android,Medium,Medium,Medium,Medium,1,0
19,8,7,OnePlus NORD,2,400,8/128,Android,High,High,Medium,Medium,1,1
20,2,7,Apple iPhone 12,3,1000,8/128,iOS,High,High,High,Medium,1,0
21,24,8,Google Pixel 5,1,900,8/128,Android,Medium,High,High,High,1,0
22,29,8,Poco M3,2,200,4/64,Android,Low,Low,Low,High,1,0
23,21,8,Huawei P40,3,400,8/128,Android,Medium,Medium,Medium,High,1,1
24,5,9,Samsung Galaxy Z Flip,1,900,12/256,Android,Medium,Medium,High,Medium,1,0
25,12,9,Motorola Edge,2,400,8/128,Android,High,Medium,Medium,High,1,1
26,22,9,Huawei P40 Lite 5G,3,200,8/128,Android,Medium,Medium,Medium,High,1,0
27,6,10,Samsung Galaxy S20 FE 5G,1,600,8/128,Android,High,High,High,Medium,1,1
28,18,10,Redmi Note 9,2,200,4/64,Android,Low,Low,Low,High,1,0
29,25,10,LG Wing,3,1100,8/128,Android,High,Medium,Medium,Medium,1,0
30,17,11,Poco F2 Pro,1,400,8/128,Android,Medium,Medium,Medium,High,1,0
31,36,11,Oppo Find X2 Neo,2,500,12/256,Android,High,High,Medium,Medium,1,1
32,28,11,Asus ROG Phone 3,3,800,12/256,Android,High,Medium,Medium,High,1,0
33,4,12,Samsung Galaxy Note 20 Ultra,1,1200,12/256,Android,High,Medium,High,Low,1,0
34,1,12,Apple iPhone 12 Pro Max,2,1200,12/256,iOS,High,Medium,High,Medium,1,0
35,7,12,Samsung Galaxy Z Fold 2,3,1400,12/256,Android,High,High,Medium,Medium,1,1
36,9,13,OnePlus 8 Pro,1,800,12/256,Android,High,High,High,Medium,1,0
37,3,13,Apple iPhone 12 Mini,2,700,4/64,iOS,High,High,High,Medium,1,0
38,19,13,Realme X50 Pro,3,500,8/128,Android,High,High,Low,Medium,1,1
0,31,1,Xiaomi Mi Note 10 Lite,1,300,8/128,Android,High,High,Medium,High,2,1
1,37,1,Redmi Note 9 Pro,2,200,4/64,Android,Medium,Medium,Medium,High,2,0
2,14,1,Xiaomi Mi 10,3,500,8/128,Android,Medium,High,Medium,Medium,2,0
3,20,2,Realme 7 Pro,1,300,8/128,Android,High,Medium,Low,High,2,0
4,26,2,LG Velvet,2,400,8/128,Android,Medium,High,Medium,Low,2,0
5,39,2,Samsung Galaxy S10 Lite,3,400,8/128,Android,High,High,Medium,High,2,1
6,10,3,Sony Xperia 5 II,1,900,8/128,Android,High,High,High,Medium,2,0
7,16,3,Poco X3 ,2,300,8/128,Android,Medium,Medium,Medium,High,2,1
8,34,3,Motorola Razr 5G,3,1300,12/256,Android,Medium,Medium,Low,Low,2,0
9,33,4,Samsung Galaxy S20 Ultra,1,1400,12/256,Android,High,Medium,High,Low,2,0
10,32,4,Honor 9X Pro,2,300,8/128,Android,Medium,Medium,Medium,High,2,1
11,11,4,Motorola Moto G9 Plus,3,200,4/64,Android,Low,Medium,Medium,High,2,0
12,15,5,Xiaomi Mi 10 Lite,1,200,4/64,Android,High,High,Medium,High,2,1
13,38,5,Samsung Galaxy A21s,2,200,4/64,Android,Low,Medium,Medium,High,2,0
14,30,5,Samsung Galaxy A31,3,300,4/64,Android,High,Medium,Low,High,2,0
15,23,6,Oppo Reno 4 Pro,1,700,12/256,Android,High,High,Medium,High,2,1
16,35,6,Google Pixel 4A,2,500,8/128,Android,High,High,Medium,Low,2,0
17,13,6,Xiaomi Mi 10T,3,500,8/128,Android,Medium,High,Medium,Medium,2,0
18,27,7,Asus Zenfone 7,1,600,8/128,Android,Medium,Medium,Medium,Medium,2,0
19,8,7,OnePlus NORD,2,400,8/128,Android,High,High,Medium,Medium,2,1
20,2,7,Apple iPhone 12,3,1000,8/128,iOS,High,High,High,Medium,2,0
21,24,8,Google Pixel 5,1,900,8/128,Android,Medium,High,High,High,2,1
22,29,8,Poco M3,2,200,4/64,Android,Low,Low,Low,High,2,0
23,21,8,Huawei P40,3,400,8/128,Android,Medium,Medium,Medium,High,2,0
24,5,9,Samsung Galaxy Z Flip,1,900,12/256,Android,Medium,Medium,High,Medium,2,0
25,12,9,Motorola Edge,2,400,8/128,Android,High,Medium,Medium,High,2,1
26,22,9,Huawei P40 Lite 5G,3,200,8/128,Android,Medium,Medium,Medium,High,2,0
27,6,10,Samsung Galaxy S20 FE 5G,1,600,8/128,Android,High,High,High,Medium,2,1
28,18,10,Redmi Note 9,2,200,4/64,Android,Low,Low,Low,High,2,0
29,25,10,LG Wing,3,1100,8/128,Android,High,Medium,Medium,Medium,2,0
30,17,11,Poco F2 Pro,1,400,8/128,Android,Medium,Medium,Medium,High,2,0
31,36,11,Oppo Find X2 Neo,2,500,12/256,Android,High,High,Medium,Medium,2,1
32,28,11,Asus ROG Phone 3,3,800,12/256,Android,High,Medium,Medium,High,2,0
33,4,12,Samsung Galaxy Note 20 Ultra,1,1200,12/256,Android,High,Medium,High,Low,2,0
34,1,12,Apple iPhone 12 Pro Max,2,1200,12/256,iOS,High,Medium,High,Medium,2,0
35,7,12,Samsung Galaxy Z Fold 2,3,1400,12/256,Android,High,High,Medium,Medium,2,1
36,9,13,OnePlus 8 Pro,1,800,12/256,Android,High,High,High,Medium,2,1
37,3,13,Apple iPhone 12 Mini,2,700,4/64,iOS,High,High,High,Medium,2,0
38,19,13,Realme X50 Pro,3,500,8/128,Android,High,High,Low,Medium,2,0
0,31,1,Xiaomi Mi Note 10 Lite,1,300,8/128,Android,High,High,Medium,High,3,1
1,37,1,Redmi Note 9 Pro,2,200,4/64,Android,Medium,Medium,Medium,High,3,0
2,14,1,Xiaomi Mi 10,3,500,8/128,Android,Medium,High,Medium,Medium,3,0
3,20,2,Realme 7 Pro,1,300,8/128,Android,High,Medium,Low,High,3,0
4,26,2,LG Velvet,2,400,8/128,Android,Medium,High,Medium,Low,3,0
